name,id,email,tutorial_group
"Diab, Amr",1004211591,amr.diab@myuni.edu,TUT0301
"Spears, Britney",1004407102,britney.spears@myuni.edu,TUT0101
"Andersson, Benny",1004047884,benny.andersson@myuni.edu,TUT0401
"Crosby, Bing",1006974106,bing.crosby@myuni.edu,TUT0101
"Holly, Buddy",1007854143,buddy.holly@myuni.edu,TUT0101
"McCartney, Jesse",1006143715,jesse.mccartney@myuni.edu,TUT0301
"Lauper, Cyndi",1002595647,cyndi.lauper@myuni.edu,TUT0401
"Diddley, Bo",1001598061,bo.diddley@myuni.edu,TUT0301
"Delson, Brad",1005655912,brad.delson@myuni.edu,TUT0101
"Davis, Miles",1006748315,miles.davis@myuni.edu,TUT0201
"Bennett, Tony",1001925407,tony.bennett@myuni.edu,TUT0301
"Mingus, Charles",1007874387,charles.mingus@myuni.edu,TUT0301
"Atkins, Chet",1006465950,chet.atkins@myuni.edu,TUT0301
"Shinoda, Mike",1001980373,mike.shinoda@myuni.edu,TUT0301
"Grohl, Dave",1009554977,dave.grohl@myuni.edu,TUT0101
"Buckley, Jeff",1007492078,jeff.buckley@myuni.edu,TUT0401
"Parton, Dolly",1005683846,dolly.parton@myuni.edu,TUT0301
"Bowie, David",1005507899,david.bowie@myuni.edu,TUT0301
"Reinhardt, Django",1007396000,django.reinhardt@myuni.edu,TUT0101
"Presley, Elvis",1005975142,elvis.presley@myuni.edu,TUT0301
"Clapton, Eric",1009678153,eric.clapton@myuni.edu,TUT0101
"Costello, Elvis",1005072358,elvis.costello@myuni.edu,TUT0201
"Zappa, Frank",1008196829,frank.zappa@myuni.edu,TUT0301
"Sinatra, Frank",1006516555,frank.sinatra@myuni.edu,TUT0201
"Krauss, Alison",1004624422,alison.krauss@myuni.edu,TUT0201
"Gaynor, Gloria",1004700852,gloria.gaynor@myuni.edu,TUT0201
"Davis, Jonathan",1001342701,jonathan.davis@myuni.edu,TUT0401
"Harrison, George",1006058892,george.harrison@myuni.edu,TUT0201
"Branigan, Laura",1002436890,laura.branigan@myuni.edu,TUT0101
"Brown, James",1004400426,james.brown@myuni.edu,TUT0401
"Hooker, John Lee",1003047786,john lee.hooker@myuni.edu,TUT0401
"Lennon, John",1003779984,john.lennon@myuni.edu,TUT0101
"Hendrix, Jimi",1004911575,jimi.hendrix@myuni.edu,TUT0201
"Joplin, Janis",1008711818,janis.joplin@myuni.edu,TUT0201
"Dowland, John",1001506435,john.dowland@myuni.edu,TUT0401
"Mitchell, Joni",1008580939,joni.mitchell@myuni.edu,TUT0101
"Vai, Steve",1004265531,steve.vai@myuni.edu,TUT0301
"Cobain, Kurt",1009411006,kurt.cobain@myuni.edu,TUT0101
"Dirnt, Mike",1002330131,mike.dirnt@myuni.edu,TUT0201
